key,value,date
1,14,1
1,20,2
1,18,3
1,18,4
1,22,5
1,12,6
1,10,7
1,5,8
1,6,9
1,8,10
1,15,11
1,13,12
1,14,13
1,11,14
1,10,15
1,14,16
1,13,17
1,14,18
1,10,19
1,15,20
2,11,1
2,16,2
2,14,3
2,22,4
2,22,5
2,24,6
2,10,7
2,10,8
2,16,9
2,10,10
2,14,11
2,10,12
2,14,13
2,9,14
2,8,15
2,14,16
2,18,17
2,16,18
2,20,19
2,13,20
3,8,1
3,25,2
3,17,3
3,16,4
3,23,5
3,22,6
3,13,7
3,15,8
3,7,9
3,14,10
3,14,11
3,8,12
3,12,13
3,17,14
3,17,15
3,13,16
3,14,17
3,16,18
3,19,19
3,20,20
4,14,1
4,15,2
4,18,3
4,21,4
4,18,5
4,22,6
4,9,7
4,10,8
4,15,9
4,15,10
4,14,11
4,5,12
4,10,13
4,14,14
4,7,15
4,13,16
4,21,17
4,11,18
4,20,19
4,20,20
5,19,1
5,15,2
5,18,3
5,23,4
5,16,5
5,14,6
5,10,7
5,14,8
5,17,9
5,9,10
5,7,11
5,19,12
5,14,13
5,12,14
5,11,15
5,10,16
5,13,17
5,14,18
5,8,19
5,13,20
6,16,1
6,22,2
6,22,3
6,16,4
6,16,5
6,11,6
6,10,7
6,5,8
6,8,9
6,8,10
6,4,11
6,9,12
6,8,13
6,10,14
6,9,15
6,10,16
6,7,17
6,14,18
6,14,19
6,13,20
7,19,1
7,21,2
7,14,3
7,28,4
7,24,5
7,21,6
7,14,7
7,9,8
7,13,9
7,8,10
7,9,11
7,13,12
7,10,13
7,14,14
7,16,15
7,20,16
7,23,17
7,25,18
7,25,19
7,26,20
