key,value,date
1,10,1
1,18,2
1,14,3
1,12,4
1,18,5
1,10,6
1,5,7
1,5,8
1,8,9
1,13,10
1,10,11
1,10,12
1,10,13
1,9,14
1,17,15
1,13,16
1,12,17
1,16,18
1,12,19
1,15,20
2,7,1
2,12,2
2,12,3
2,17,4
2,19,5
2,13,6
2,4,7
2,8,8
2,9,9
2,9,10
2,14,11
2,10,12
2,15,13
2,11,14
2,12,15
2,20,16
2,14,17
2,13,18
2,14,19
2,13,20
3,14,1
3,23,2
3,15,3
3,18,4
3,20,5
3,23,6
3,15,7
3,10,8
3,16,9
3,10,10
3,14,11
3,20,12
3,15,13
3,15,14
3,17,15
3,12,16
3,15,17
3,18,18
3,20,19
3,20,20
4,12,1
4,15,2
4,18,3
4,24,4
4,25,5
4,24,6
4,11,7
4,15,8
4,16,9
4,13,10
4,17,11
4,18,12
4,10,13
4,13,14
4,19,15
4,9,16
4,15,17
4,15,18
4,16,19
4,21,20
5,12,1
5,18,2
5,17,3
5,24,4
5,25,5
5,22,6
5,13,7
5,17,8
5,16,9
5,18,10
5,20,11
5,15,12
5,15,13
5,17,14
5,25,15
5,22,16
5,18,17
5,10,18
5,12,19
5,7,20
6,14,1
6,20,2
6,14,3
6,24,4
6,18,5
6,20,6
6,18,7
6,9,8
6,15,9
6,14,10
6,10,11
6,6,12
6,16,13
6,12,14
6,10,15
6,8,16
6,11,17
6,13,18
6,13,19
6,7,20
7,12,1
7,23,2
7,14,3
7,12,4
7,23,5
7,21,6
7,8,7
7,10,8
7,9,9
7,13,10
7,10,11
7,15,12
7,13,13
7,15,14
7,9,15
7,16,16
7,11,17
7,12,18
7,12,19
7,15,20
