key,value,date
1,15,1
1,20,2
1,17,3
1,14,4
1,23,5
1,14,6
1,13,7
1,8,8
1,13,9
1,11,10
1,5,11
1,9,12
1,14,13
1,16,14
1,11,15
1,12,16
1,18,17
1,21,18
1,16,19
1,9,20
2,15,1
2,16,2
2,20,3
2,13,4
2,28,5
2,18,6
2,12,7
2,16,8
2,16,9
2,8,10
2,21,11
2,10,12
2,7,13
2,17,14
2,17,15
2,15,16
2,20,17
2,25,18
2,17,19
2,25,20
3,6,1
3,12,2
3,16,3
3,27,4
3,20,5
3,26,6
3,7,7
3,16,8
3,9,9
3,9,10
3,14,11
3,7,12
3,15,13
3,17,14
3,13,15
3,20,16
3,23,17
3,20,18
3,24,19
3,24,20
4,13,1
4,16,2
4,17,3
4,20,4
4,19,5
4,30,6
4,8,7
4,14,8
4,8,9
4,12,10
4,12,11
4,15,12
4,14,13
4,15,14
4,16,15
4,19,16
4,14,17
4,20,18
4,17,19
4,10,20
5,14,1
5,16,2
5,20,3
5,20,4
5,21,5
5,25,6
5,11,7
5,13,8
5,13,9
5,14,10
5,16,11
5,13,12
5,10,13
5,22,14
5,24,15
5,16,16
5,18,17
5,19,18
5,12,19
5,20,20
6,11,1
6,18,2
6,16,3
6,18,4
6,25,5
6,11,6
6,9,7
6,8,8
6,12,9
6,9,10
6,16,11
6,8,12
6,12,13
6,10,14
6,8,15
6,11,16
6,19,17
6,8,18
6,18,19
6,16,20
7,9,1
7,14,2
7,21,3
7,21,4
7,13,5
7,31,6
7,14,7
7,15,8
7,15,9
7,9,10
7,15,11
7,21,12
7,19,13
7,12,14
7,19,15
7,17,16
7,25,17
7,25,18
7,22,19
7,32,20
