key,value,date
1,11,1
1,6,2
1,10,3
1,15,4
1,11,5
1,17,6
1,3,7
1,7,8
1,5,9
1,4,10
1,4,11
1,11,12
1,8,13
1,6,14
1,5,15
1,17,16
1,12,17
1,10,18
1,15,19
1,12,20
2,11,1
2,14,2
2,16,3
2,23,4
2,14,5
2,14,6
2,7,7
2,12,8
2,7,9
2,8,10
2,9,11
2,4,12
2,8,13
2,23,14
2,18,15
2,10,16
2,11,17
2,16,18
2,19,19
2,15,20
3,13,1
3,22,2
3,19,3
3,14,4
3,25,5
3,20,6
3,13,7
3,4,8
3,12,9
3,9,10
3,9,11
3,13,12
3,9,13
3,9,14
3,16,15
3,14,16
3,16,17
3,16,18
3,9,19
3,16,20
4,4,1
4,13,2
4,12,3
4,21,4
4,15,5
4,8,6
4,8,7
4,6,8
4,10,9
4,7,10
4,11,11
4,7,12
4,6,13
4,10,14
4,7,15
4,10,16
4,11,17
4,14,18
4,9,19
4,11,20
5,13,1
5,6,2
5,11,3
5,9,4
5,15,5
5,14,6
5,3,7
5,8,8
5,9,9
5,5,10
5,12,11
5,9,12
5,7,13
5,8,14
5,11,15
5,7,16
5,12,17
5,9,18
5,5,19
5,9,20
6,10,1
6,18,2
6,21,3
6,11,4
6,21,5
6,22,6
6,8,7
6,6,8
6,9,9
6,6,10
6,2,11
6,6,12
6,8,13
6,13,14
6,6,15
6,14,16
6,20,17
6,13,18
6,18,19
6,7,20
7,5,1
7,8,2
7,10,3
7,11,4
7,21,5
7,15,6
7,6,7
7,10,8
7,13,9
7,7,10
7,6,11
7,8,12
7,11,13
7,7,14
7,8,15
7,10,16
7,14,17
7,17,18
7,12,19
7,10,20
