key,value,date
1,10,1
1,12,2
1,17,3
1,25,4
1,17,5
1,15,6
1,10,7
1,12,8
1,10,9
1,9,10
1,9,11
1,9,12
1,16,13
1,13,14
1,16,15
1,16,16
1,14,17
1,13,18
1,13,19
1,14,20
2,14,1
2,22,2
2,28,3
2,10,4
2,18,5
2,16,6
2,13,7
2,11,8
2,14,9
2,14,10
2,16,11
2,14,12
2,9,13
2,14,14
2,14,15
2,16,16
2,18,17
2,21,18
2,19,19
2,10,20
3,17,1
3,17,2
3,25,3
3,26,4
3,29,5
3,16,6
3,13,7
3,13,8
3,18,9
3,11,10
3,12,11
3,22,12
3,12,13
3,15,14
3,12,15
3,10,16
3,27,17
3,21,18
3,16,19
3,13,20
4,10,1
4,17,2
4,20,3
4,12,4
4,15,5
4,17,6
4,5,7
4,11,8
4,11,9
4,5,10
4,7,11
4,6,12
4,5,13
4,13,14
4,11,15
4,15,16
4,9,17
4,9,18
4,12,19
4,16,20
5,11,1
5,10,2
5,14,3
5,19,4
5,14,5
5,16,6
5,9,7
5,7,8
5,13,9
5,13,10
5,4,11
5,11,12
5,11,13
5,15,14
5,13,15
5,12,16
5,19,17
5,16,18
5,14,19
5,12,20
6,9,1
6,17,2
6,14,3
6,22,4
6,14,5
6,14,6
6,8,7
6,6,8
6,13,9
6,12,10
6,19,11
6,13,12
6,14,13
6,13,14
6,13,15
6,17,16
6,15,17
6,11,18
6,13,19
6,15,20
7,12,1
7,14,2
7,21,3
7,21,4
7,21,5
7,15,6
7,12,7
7,9,8
7,17,9
7,17,10
7,14,11
7,17,12
7,16,13
7,15,14
7,18,15
7,19,16
7,33,17
7,20,18
7,29,19
7,22,20
